"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"2008";"Noord-Holland (PV)";"    4092";"      12";"     101";"       8";"     300";"     124";"      18";"       1";"      43";"      15";"      45";"      46";"      46";"      20";"    1580";"     130";"     175";"     739";"     687"
"2009";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2010";"Noord-Holland (PV)";"    4092";"      12";"     101";"       8";"     301";"     127";"      18";"       1";"      44";"      14";"      45";"      47";"      47";"      20";"    1575";"     130";"     174";"     741";"     687"
"2011";"Noord-Holland (PV)";"    4092";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2012";"Noord-Holland (PV)";"    4092";"      12";"      98";"       8";"     301";"     132";"      19";"       1";"      42";"      14";"      48";"      49";"      50";"      19";"    1562";"     131";"     177";"     743";"     686"
"2013";"Noord-Holland (PV)";"    4091";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2014";"Noord-Holland (PV)";"    4091";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2015";"Noord-Holland (PV)";"    4092";"      12";"      99";"       8";"     303";"     133";"      19";"       1";"      45";"      14";"      50";"      49";"      51";"      19";"    1551";"     130";"     183";"     744";"     683"
"1950";"Zuid-Holland (PV)";"    3007";"      13";"      45";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"       .";"       .";"       .";"    2304";"      44";"     152";"       .";"       ."
"1951";"Zuid-Holland (PV)";"    3108";"      14";"      47";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"      11";"       .";"       .";"       .";"    2310";"      43";"     148";"       .";"       ."
"1952";"Zuid-Holland (PV)";"    3154";"      13";"      46";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"      12";"       .";"       .";"       .";"    2328";"      42";"     158";"       .";"       ."
"1953";"Zuid-Holland (PV)";"    3166";"      14";"      46";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"      12";"       .";"       .";"       .";"    2339";"      42";"     150";"       .";"       ."
"1954";"Zuid-Holland (PV)";"    3166";"      14";"      46";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"      12";"       .";"       .";"       .";"    2336";"      42";"     150";"       .";"       ."
"1955";"Zuid-Holland (PV)";"    3166";"      14";"      47";"       4";"       .";"       .";"       .";"       .";"      14";"       .";"      17";"       .";"       .";"       .";"    2328";"      39";"     140";"       .";"       ."
"1956";"Zuid-Holland (PV)";"    3184";"      13";"      49";"       4";"       .";"       .";"       .";"       .";"      17";"       .";"      18";"       .";"       .";"       .";"    2313";"      42";"     142";"       .";"       ."
"1957";"Zuid-Holland (PV)";"    3184";"      13";"      52";"       7";"       .";"       .";"       .";"       .";"      24";"       .";"      18";"       .";"       .";"       .";"    2293";"      45";"     140";"       .";"       ."
"1958";"Zuid-Holland (PV)";"    3185";"      13";"      52";"       7";"       .";"       .";"       .";"       .";"      22";"       .";"      18";"       .";"       .";"       .";"    2287";"      45";"     140";"       .";"       ."
"1959";"Zuid-Holland (PV)";"    3184";"      13";"      53";"       7";"       .";"       .";"       .";"       .";"      20";"       .";"      17";"       .";"       .";"       .";"    2276";"      44";"     132";"       .";"       ."
"1960";"Zuid-Holland (PV)";"    3191";"      12";"      53";"       7";"       .";"       .";"       .";"       .";"      22";"       .";"      19";"       .";"       .";"       .";"    2264";"      47";"     128";"       .";"       ."
"1961";"Zuid-Holland (PV)";"    3192";"      11";"      48";"       7";"       .";"       .";"       .";"       .";"      31";"       .";"      20";"       .";"       .";"       .";"    2255";"      47";"     121";"       .";"       ."
"1962";"Zuid-Holland (PV)";"    3197";"       9";"      48";"       7";"       .";"       .";"       .";"       .";"      33";"       .";"      22";"       .";"       .";"       .";"    2253";"      52";"     114";"       .";"       ."
"1963";"Zuid-Holland (PV)";"    3240";"       9";"      49";"       7";"       .";"       .";"       .";"       .";"      35";"       .";"      24";"       .";"       .";"       .";"    2255";"      53";"     101";"       .";"       ."
"1964";"Zuid-Holland (PV)";"    3265";"       9";"      49";"       7";"       .";"       .";"       .";"       .";"      37";"       .";"      24";"       .";"       .";"       .";"    2246";"      52";"      88";"       .";"       ."
"1965";"Zuid-Holland (PV)";"    3264";"       9";"      49";"       7";"       .";"       .";"       .";"       .";"      44";"       .";"      26";"       .";"       .";"       .";"    2232";"      50";"      84";"       .";"       ."
"1966";"Zuid-Holland (PV)";"    3264";"       9";"      48";"       8";"       .";"       .";"       .";"       .";"      59";"       .";"      26";"       .";"       .";"       .";"    2206";"      50";"      84";"       .";"       ."
"1967";"Zuid-Holland (PV)";"    3266";"       9";"      48";"       8";"       .";"      74";"       .";"       .";"      54";"       .";"      22";"       .";"       .";"       .";"    2187";"      49";"      85";"       .";"       ."
"1968";"Zuid-Holland (PV)";"    3264";"      10";"      48";"       8";"       .";"      63";"       .";"       .";"      53";"       .";"      18";"       .";"       .";"       .";"    2198";"      50";"      85";"       .";"       ."
"1969";"Zuid-Holland (PV)";"    3263";"       8";"      44";"       8";"       .";"      52";"       .";"       .";"      50";"       .";"      12";"       .";"       .";"       .";"    2192";"      54";"      84";"       .";"       ."
"1970";"Zuid-Holland (PV)";"    3263";"       8";"      42";"       8";"       .";"      54";"       .";"       .";"      53";"       .";"      14";"       .";"       .";"       .";"    2177";"      56";"      84";"       .";"       ."
"1971";"Zuid-Holland (PV)";"    3286";"       8";"      43";"       8";"       .";"      55";"       .";"       .";"      54";"       .";"      16";"       .";"       .";"       .";"    2162";"      55";"      84";"       .";"       ."
"1972";"Zuid-Holland (PV)";"    3325";"       8";"      45";"       8";"       .";"      56";"       .";"       .";"      77";"       .";"      17";"       8";"       .";"       .";"    2141";"      55";"      86";"       .";"       ."
"1973";"Zuid-Holland (PV)";"    3326";"       8";"      45";"       8";"       .";"      59";"       .";"       .";"      77";"       .";"      17";"      18";"       .";"       .";"    2132";"      55";"      98";"       .";"       ."
"1974";"Zuid-Holland (PV)";"    3322";"       8";"      46";"       8";"       .";"      61";"       .";"       .";"      76";"       .";"      18";"      19";"       .";"       .";"    2122";"      54";"      97";"       .";"       ."
"1975";"Zuid-Holland (PV)";"    3324";"       8";"      47";"       8";"       .";"      63";"       .";"       .";"      72";"       .";"      19";"      21";"       .";"       .";"    2110";"      55";"     101";"       .";"       ."
"1976";"Zuid-Holland (PV)";"    3324";"       8";"      48";"       8";"       .";"      65";"       .";"       .";"      67";"       .";"      21";"      22";"       .";"       .";"    2096";"      58";"     101";"       .";"       ."
"1977";"Zuid-Holland (PV)";"    3343";"      17";"     105";"       7";"     269";"     116";"      25";"       4";"      78";"      16";"      32";"      33";"      37";"      85";"    1879";"      38";"     166";"     362";"      75"
"1978";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1979";"Zuid-Holland (PV)";"    3344";"      18";"     108";"       6";"     280";"     118";"      25";"       4";"      76";"      15";"      33";"      35";"      40";"      86";"    1856";"      39";"     166";"     364";"      75"
"1980";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Zuid-Holland (PV)";"    3363";"      18";"     112";"       6";"     291";"     119";"      25";"       4";"      70";"      16";"      36";"      37";"      42";"      87";"    1837";"      39";"     167";"     364";"      92"
"1982";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Zuid-Holland (PV)";"    3363";"      18";"     115";"       4";"     301";"     122";"      26";"       4";"      58";"      16";"      38";"      38";"      47";"      87";"    1827";"      40";"     168";"     365";"      92"
"1984";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Zuid-Holland (PV)";"    3363";"      18";"     120";"       4";"     310";"     123";"      26";"       4";"      51";"      17";"      41";"      40";"      49";"      87";"    1813";"      42";"     163";"     366";"      92"
"1986";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Zuid-Holland (PV)";"    3334";"      18";"     126";"       3";"     315";"     128";"      24";"       1";"      47";"      18";"      42";"      41";"      49";"      85";"    1779";"      44";"     128";"     419";"      66"
"1990";"Zuid-Holland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
